Block,Week,Day,Workout,Exercise,Sets,Reps,RPE/%1RM,Rest,Notes,LSRPE,Alternate Exercise
Block 1,1,1,LOWER #1,BACK SQUAT,3,5,70%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 1,1,1,LOWER #1,BARBELL HIP THRUST,3,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,DUMBBELL HIP THRUST
Block 1,1,1,LOWER #1,BARBELL ROMANIAN DEADLIFT,2,10-12,8RPE,2MIN,"KEEP YOUR SPINE NEUTRAL",,DUMBBELL ROMANIAN DEADLIFT
Block 1,1,1,LOWER #1,CABLE STANDING GLUTE KICKBACK,2,12-15,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 1,1,1,LOWER #1,SEATED HIP ABDUCTION MACHINE,2,20-25,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,ANKLE WEIGHT STANDING HIP ABDUCTION
Block 1,1,1,LOWER #1,BICYCLE CRUNCH,3,15-20,8RPE,1MIN,"DON'T YANK YOUR NECK",,CRUNCH
Block 1,1,2,LOWER #2,DEADLIFT,4,4,75%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG DEADLIFT
Block 1,1,2,LOWER #2,FRONT SQUAT,3,10-12,8RPE,3MIN,"SIT STRAIGHT DOWN",,GOBLET SQUAT
Block 1,1,2,LOWER #2,KNEE-BANDED BODYWEIGHT HIP THRUST,2,25-30,8RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED DUMBBELL HIP THRUST
Block 1,1,2,LOWER #2,SEATED LEG CURL,3,10-12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 1,1,2,LOWER #2,LATERAL BAND WALK,3,20,8RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 1,1,2,LOWER #2,MACHINE SEATED HIP ABDUCTION,3,15,7RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,1,3,UPPER #1,DUMBBELL STANDING SHOULDER PRESS,4,8-10,8RPE,2MIN,"USE A FULL ROM",,DUMBBELL SEATED SHOULDER PRESS
Block 1,1,3,UPPER #1,NARROW NEUTRAL-GRIP PULLDOWN,4,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SUPINATED PULLDOWN
Block 1,1,3,UPPER #1,CLOSE-GRIP PUSH-UP,3,8-10,7RPE,2MIN,"TUCK YOUR ELBOWS",,MACHINE CHEST PRESS
Block 1,1,3,UPPER #1,CABLE SEATED ROW,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,MACHINE HIGH ROW
Block 1,1,3,UPPER #1,A1: DUMBBELL LATERAL RAISE,3,15,9RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,MACHINE LATERAL RAISE
Block 1,1,3,UPPER #1,A2: DUMBBELL REAR DELT RAISE,3,15,9RPE,2MIN,"KEEP YOUR SCAPULAE PROTRACTED",,REVERSE PEC DECK
Block 1,1,3,UPPER #1,SEATED FACE PULL,3,15-20,9RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,PRONE TRAP RAISE
Block 1,1,3,UPPER #1,B1: SINGLE-ARM CABLE CURL,2,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,DUMBBELL SUPINATED CURL
Block 1,1,3,UPPER #1,B2: OVERHEAD CABLE TRICEP EXTENSION,2,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,1-ARM OVERHEAD DUMBBELL EXTENSION
Block 1,1,4,LOWER #3,DEFICIT BODYWEIGHT BULGARIAN SPLIT SQUAT,3,10-12,7RPE,2MIN,"FOCUS ON STRETCHING YOUR GLUTES",,DUMBBELL STEP-UP
Block 1,1,4,LOWER #3,SMITH MACHINE HIP THRUST,3,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,LEG EXTENSION HIP THRUST
Block 1,1,4,LOWER #3,BODYWEIGHT REVERSE HYPEREXTENSION,3,15-20,8RPE,2MIN,"SQUEEZE YOUR GLUTES TO RAISE YOUR LEGS",,BAND GLUTE KICKBACK
Block 1,1,4,LOWER #3,45° HYPEREXTENSION,3,12-15,7RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,BACK EXTENSION
Block 1,1,4,LOWER #3,BAND SEATED HIP ABDUCTION,3,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,SEATED HIP ABDUCTION MACHINE
Block 1,1,4,LOWER #3,HOLLOW BODY HOLD (CORE),3,15SEC,7RPE,1MIN,"FLEX YOUR SPINE",,PLANK
Block 1,1,5,LOWER #4,STIFF LEG DEADLIFT,3,6-8,8RPE,3MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 1,1,5,LOWER #4,BODYWEIGHT WALKING LUNGE,2,12-15,7RPE,2MIN,"REPS EACH LEG, STRETCH YOUR GLUTES",,SINGLE-LEG LEG PRESS
Block 1,1,5,LOWER #4,KNEE-BANDED BODYWEIGHT HIP THRUST,4,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,BODYWEIGHT HIP THRUST
Block 1,1,5,LOWER #4,SWISS BALL LEG CURL,3,8-12,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 1,1,5,LOWER #4,CABLE HIP ABDUCTION,3,10-15,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,1,5,LOWER #4,MACHINE STANDING CALF RAISE,3,8-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 1,1,6,UPPER #2,DUMBBELL INCLINE PRESS,3,8-10,8RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 1,1,6,UPPER #2,SUPINATED PULLDOWN,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SINGLE-ARM PULLDOWN
Block 1,1,6,UPPER #2,MACHINE SHOULDER PRESS,3,8-10,8RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 1,1,6,UPPER #2,CHEST-SUPPORTED T-BAR ROW,3,12-15,8RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 1,1,6,UPPER #2,A1: RESISTANCE BAND LATERAL RAISE,3,7/7/7,8RPE,0MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,CABLE LATERAL RAISE
Block 1,1,6,UPPER #2,A2: SEATED CABLE FACEPULL,3,7/7/7,9RPE,2MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,BAND REVERSE FLY
Block 1,1,6,UPPER #2,B1: SINGLE-ARM CABLE CURL,3,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,HAMMER CURL
Block 1,1,6,UPPER #2,B2: CABLE ROPE TRICEP EXTENSION,3,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,DUMBBELL SKULL CRUSHER
Block 1,2,1,LOWER #1,BACK SQUAT,3,5,72.5%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 1,2,1,LOWER #1,BARBELL HIP THRUST,3,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,DUMBBELL HIP THRUST
Block 1,2,1,LOWER #1,BARBELL ROMANIAN DEADLIFT,2,10-12,8RPE,2MIN,"KEEP YOUR SPINE NEUTRAL",,DUMBBELL ROMANIAN DEADLIFT
